cp7,concelho,distrito
2840-056,seixal,setúbal
2840-609,seixal,setúbal
2840-000,seixal,setúbal
2855-000,seixal,setúbal
2870-000,montijo,setúbal
2955-000,palmela,setúbal
2950-000,palmela,setúbal
2900-000,setúbal,setúbal
2900-620,setúbal,setúbal
2925-806,setúbal,setúbal
2910-000,setúbal,setúbal
2830-000,barreiro,setúbal
7570-007,grândola,setúbal
2970-000,sesimbra,setúbal
2970-140,sesimbra,setúbal
7595-000,alcácer do sal,setúbal
7580-000,alcácer do sal,setúbal
5300-670,bragança,bragança
5300-000,bragança,bragança
5370-529,mirandela,bragança
5370-511,mirandela,bragança
5360-000,vila flor,bragança
5350-000,alfandega da fé,bragança
5180-182,freixo espada à cinta,bragança
2495-473,ourém,santarém
2495-000,ourém,santarém
2490-000,ourém,santarém
2490-513,ourém,santarém
2300-000,tomar,santarém
2300-348,tomar,santarém
2150-000,golegã,santarém
2150-120,golegã,santarém
2070-000,cartaxo,santarém
2100-000,coruche,santarém
2200-000,abrantes,santarém
2200-386,abrantes,santarém
2200-021,abrantes,santarém
2380-000,alcanena,santarém
2080-000,almeirim,santarém
2025-000,santarém,santarém
2005-066,santarém,santarém
2000-000,santarém,santarém
2005-324,santarém,santarém
2135-000,benavente,santarém
2130-109,benavente,santarém
2130-000,benavente,santarém
2130-217,benavente,santarém
2040-000,rio maior,santarém
2330-088,entroncamento,santarém
2330-086,entroncamento,santarém
2330-000,entroncamento,santarém
2330-085,entroncamento,santarém
2120-000,salvaterra de magos,santarém
5400-000,chaves,vila real
5430-000,valpaços,vila real
5000-000,vila real,vila real
5050-000,peso da régua,vila real
4880-000,mondim de basto,vila real
5450-000,vila pouca de aguiar,vila real
5030-000,santa marta de penaguião,vila real
7350-000,elvas,portalegre
7350-297,elvas,portalegre
7350-226,elvas,portalegre
7350-301,elvas,portalegre
7450-000,monforte,portalegre
7300-000,portalegre,portalegre
9760-127,praia da vitória,açores
9760-025,praia da vitória,açores
9760-037,praia da vitória,açores
9760-287,praia da vitória,açores
9760-035,praia da vitória,açores
9760-032,praia da vitória,açores
9760-191,praia da vitória,açores
9760-023,praia da vitória,açores
9760-028,praia da vitória,açores
9760-031,praia da vitória,açores
9760-426,praia da vitória,açores
9760-520,praia da vitória,açores
9760-198,praia da vitória,açores
9760-505,praia da vitória,açores
9760-213,praia da vitória,açores
9760-014,praia da vitória,açores
9760-017,praia da vitória,açores
9760-011,praia da vitória,açores
9760-039,praia da vitória,açores
9760-575,praia da vitória,açores
9760-273,praia da vitória,açores
9760-419,praia da vitória,açores
9760-016,praia da vitória,açores
9760-286,praia da vitória,açores
9760-012,praia da vitória,açores
9760-019,praia da vitória,açores
9760-851,praia da vitória,açores
9760-192,praia da vitória,açores
9760-024,praia da vitória,açores
9760-033,praia da vitória,açores
9760-251,praia da vitória,açores
9760-038,praia da vitória,açores
9760-119,praia da vitória,açores
9760-029,praia da vitória,açores
9760-030,praia da vitória,açores
9760-564,praia da vitória,açores
9760-196,praia da vitória,açores
9760-018,praia da vitória,açores
9760-099,praia da vitória,açores
9760-026,praia da vitória,açores
9760-021,praia da vitória,açores
9760-496,praia da vitória,açores
9760-036,praia da vitória,açores
9760-022,praia da vitória,açores
9760-020,praia da vitória,açores
9700-086,angra do heroísmo,açores
9700-042,angra do heroísmo,açores
9700-099,angra do heroísmo,açores
9700-072,angra do heroísmo,açores
9700-020,angra do heroísmo,açores
9700-039,angra do heroísmo,açores
9700-050,angra do heroísmo,açores
9700-065,angra do heroísmo,açores
9700-053,angra do heroísmo,açores
9700-019,angra do heroísmo,açores
9700-044,angra do heroísmo,açores
9700-070,angra do heroísmo,açores
9700-021,angra do heroísmo,açores
9700-096,angra do heroísmo,açores
9700-016,angra do heroísmo,açores
9700-059,angra do heroísmo,açores
9700-015,angra do heroísmo,açores
9700-088,angra do heroísmo,açores
9700-085,angra do heroísmo,açores
9700-012,angra do heroísmo,açores
9700-026,angra do heroísmo,açores
9700-009,angra do heroísmo,açores
9700-081,angra do heroísmo,açores
9700-066,angra do heroísmo,açores
9700-017,angra do heroísmo,açores
9700-040,angra do heroísmo,açores
9700-013,angra do heroísmo,açores
9700-060,angra do heroísmo,açores
9700-718,angra do heroísmo,açores
9700-077,angra do heroísmo,açores
9700-022,angra do heroísmo,açores
9700-080,angra do heroísmo,açores
9700-069,angra do heroísmo,açores
9700-041,angra do heroísmo,açores
9700-043,angra do heroísmo,açores
9700-051,angra do heroísmo,açores
9700-061,angra do heroísmo,açores
9700-073,angra do heroísmo,açores
9700-055,angra do heroísmo,açores
9700-092,angra do heroísmo,açores
9700-023,angra do heroísmo,açores
9700-087,angra do heroísmo,açores
9700-097,angra do heroísmo,açores
9700-079,angra do heroísmo,açores
9700-062,angra do heroísmo,açores
9700-091,angra do heroísmo,açores
9700-011,angra do heroísmo,açores
9700-014,angra do heroísmo,açores
9700-094,angra do heroísmo,açores
9700-078,angra do heroísmo,açores
9700-027,angra do heroísmo,açores
9700-046,angra do heroísmo,açores
9700-052,angra do heroísmo,açores
9700-025,angra do heroísmo,açores
9700-054,angra do heroísmo,açores
9700-093,angra do heroísmo,açores
9700-028,angra do heroísmo,açores
9700-068,angra do heroísmo,açores
9700-037,angra do heroísmo,açores
9700-033,angra do heroísmo,açores
9700-049,angra do heroísmo,açores
9700-024,angra do heroísmo,açores
9700-089,angra do heroísmo,açores
9700-029,angra do heroísmo,açores
9700-064,angra do heroísmo,açores
9700-058,angra do heroísmo,açores
9700-076,angra do heroísmo,açores
9700-082,angra do heroísmo,açores
9700-075,angra do heroísmo,açores
9700-032,angra do heroísmo,açores
9700-038,angra do heroísmo,açores
9700-035,angra do heroísmo,açores
9700-045,angra do heroísmo,açores
9700-047,angra do heroísmo,açores
9700-199,angra do heroísmo,açores
9700-056,angra do heroísmo,açores
9700-098,angra do heroísmo,açores
9700-030,angra do heroísmo,açores
9900-070,horta,açores
9900-099,horta,açores
9900-087,horta,açores
9900-039,horta,açores
9900-018,horta,açores
9900-078,horta,açores
9900-066,horta,açores
9900-091,horta,açores
9900-016,horta,açores
9900-020,horta,açores
9900-084,horta,açores
9900-082,horta,açores
9900-053,horta,açores
9900-069,horta,açores
9900-024,horta,açores
9900-083,horta,açores
9900-028,horta,açores
9900-074,horta,açores
9900-096,horta,açores
9900-086,horta,açores
9900-073,horta,açores
9900-037,horta,açores
9900-038,horta,açores
9900-046,horta,açores
9900-328,horta,açores
9900-031,horta,açores
9900-071,horta,açores
9900-058,horta,açores
9900-017,horta,açores
9900-019,horta,açores
9900-023,horta,açores
9900-076,horta,açores
9900-050,horta,açores
9900-065,horta,açores
9900-081,horta,açores
9900-077,horta,açores
9900-062,horta,açores
9900-021,horta,açores
9900-011,horta,açores
9900-085,horta,açores
9900-094,horta,açores
9900-045,horta,açores
9900-326,horta,açores
9900-056,horta,açores
9900-064,horta,açores
9900-089,horta,açores
9900-026,horta,açores
9900-027,horta,açores
9900-059,horta,açores
9900-013,horta,açores
9900-329,horta,açores
9900-080,horta,açores
9900-097,horta,açores
9900-057,horta,açores
9900-029,horta,açores
9900-067,horta,açores
9900-044,horta,açores
9900-322,horta,açores
9900-063,horta,açores
9900-015,horta,açores
9900-075,horta,açores
9900-095,horta,açores
9900-014,horta,açores
9900-093,horta,açores
9900-052,horta,açores
9900-098,horta,açores
6230-000,fundão,castelo branco
6230-526,fundão,castelo branco
6200-251,covilhã,castelo branco
6200-876,covilhã,castelo branco
6200-875,covilhã,castelo branco
6000-781,castelo branco,castelo branco
9000-176,funchal,madeira
9000-150,funchal,madeira
9000-198,funchal,madeira
9000-268,funchal,madeira
9000-783,funchal,madeira
9020-021,funchal,madeira
9000-605,funchal,madeira
9000-180,funchal,madeira
9000-073,funchal,madeira
9050-450,funchal,madeira
9060-300,funchal,madeira
9000-260,funchal,madeira
9000-634,funchal,madeira
9050-059,funchal,madeira
9020-086,funchal,madeira
9000-769,funchal,madeira
9000-029,funchal,madeira
9050-225,funchal,madeira
9000-223,funchal,madeira
9000-136,funchal,madeira
9020-111,funchal,madeira
9000-058,funchal,madeira
9000-621,funchal,madeira
9050-075,funchal,madeira
9020-276,funchal,madeira
9020-245,funchal,madeira
9000-662,funchal,madeira
9000-774,funchal,madeira
9020-416,funchal,madeira
9060-239,funchal,madeira
9020-402,funchal,madeira
9000-115,funchal,madeira
9000-679,funchal,madeira
9000-264,funchal,madeira
9000-705,funchal,madeira
9020-047,funchal,madeira
9000-779,funchal,madeira
9000-191,funchal,madeira
9020-396,funchal,madeira
9000-771,funchal,madeira
9000-683,funchal,madeira
9000-098,funchal,madeira
9000-243,funchal,madeira
9020-223,funchal,madeira
9020-261,funchal,madeira
9000-247,funchal,madeira
9050-457,funchal,madeira
9000-031,funchal,madeira
9000-604,funchal,madeira
9050-021,funchal,madeira
9000-025,funchal,madeira
9000-269,funchal,madeira
9000-003,funchal,madeira
9000-737,funchal,madeira
9020-393,funchal,madeira
9000-664,funchal,madeira
9000-682,funchal,madeira
9000-222,funchal,madeira
9000-183,funchal,madeira
9020-122,funchal,madeira
9050-025,funchal,madeira
9000-215,funchal,madeira
9020-323,funchal,madeira
9000-241,funchal,madeira
9000-044,funchal,madeira
9000-637,funchal,madeira
9000-721,funchal,madeira
9060-185,funchal,madeira
9020-418,funchal,madeira
9020-412,funchal,madeira
9000-169,funchal,madeira
9000-161,funchal,madeira
9000-217,funchal,madeira
9004-509,funchal,madeira
9000-199,funchal,madeira
9020-071,funchal,madeira
9000-256,funchal,madeira
9000-103,funchal,madeira
9020-002,funchal,madeira
9000-177,funchal,madeira
9050-234,funchal,madeira
9000-685,funchal,madeira
9000-738,funchal,madeira
9000-202,funchal,madeira
9020-117,funchal,madeira
9000-087,funchal,madeira
9000-062,funchal,madeira
9020-209,funchal,madeira
9000-200,funchal,madeira
9050-071,funchal,madeira
9000-775,funchal,madeira
9050-000,funchal,madeira
9020-417,funchal,madeira
9020-165,funchal,madeira
9050-079,funchal,madeira
9000-665,funchal,madeira
9020-095,funchal,madeira
9000-074,funchal,madeira
9000-606,funchal,madeira
9000-056,funchal,madeira
9000-159,funchal,madeira
9050-012,funchal,madeira
9000-179,funchal,madeira
9000-164,funchal,madeira
9000-622,funchal,madeira
9000-140,funchal,madeira
9050-011,funchal,madeira
9020-024,funchal,madeira
9020-283,funchal,madeira
9020-262,funchal,madeira
9000-079,funchal,madeira
9000-189,funchal,madeira
9020-064,funchal,madeira
9000-120,funchal,madeira
9000-123,funchal,madeira
9050-019,funchal,madeira
9000-046,funchal,madeira
9000-777,funchal,madeira
9000-764,funchal,madeira
9000-768,funchal,madeira
9000-638,funchal,madeira
9020-063,funchal,madeira
9020-381,funchal,madeira
9000-143,funchal,madeira
9000-030,funchal,madeira
9004-527,funchal,madeira
9060-137,funchal,madeira
9000-049,funchal,madeira
9000-032,funchal,madeira
9004-541,funchal,madeira
9000-110,funchal,madeira
9020-012,funchal,madeira
9060-073,funchal,madeira
9020-135,funchal,madeira
9000-204,funchal,madeira
9000-060,funchal,madeira
9050-051,funchal,madeira
9000-205,funchal,madeira
9000-072,funchal,madeira
9050-015,funchal,madeira
9050-046,funchal,madeira
9000-054,funchal,madeira
9000-149,funchal,madeira
9050-023,funchal,madeira
9004-520,funchal,madeira
9000-013,funchal,madeira
9000-089,funchal,madeira
9020-158,funchal,madeira
9050-067,funchal,madeira
9000-021,funchal,madeira
9050-068,funchal,madeira
9020-045,funchal,madeira
9000-051,funchal,madeira
9000-158,funchal,madeira
9000-040,funchal,madeira
9000-036,funchal,madeira
9000-084,funchal,madeira
9000-067,funchal,madeira
9000-696,funchal,madeira
9000-720,funchal,madeira
9050-027,funchal,madeira
9020-330,funchal,madeira
9050-028,funchal,madeira
9020-034,funchal,madeira
9020-032,funchal,madeira
9000-708,funchal,madeira
9000-184,funchal,madeira
9050-062,funchal,madeira
9000-616,funchal,madeira
9050-020,funchal,madeira
9000-684,funchal,madeira
9050-445,funchal,madeira
9000-649,funchal,madeira
9000-005,funchal,madeira
9000-612,funchal,madeira
9000-680,funchal,madeira
9000-068,funchal,madeira
9000-246,funchal,madeira
9050-070,funchal,madeira
9020-105,funchal,madeira
9000-083,funchal,madeira
9050-053,funchal,madeira
9020-316,funchal,madeira
9020-123,funchal,madeira
9000-645,funchal,madeira
9000-236,funchal,madeira
9020-415,funchal,madeira
9050-401,funchal,madeira
9000-614,funchal,madeira
9000-042,funchal,madeira
9000-045,funchal,madeira
9000-749,funchal,madeira
9050-047,funchal,madeira
9000-065,funchal,madeira
9004-516,funchal,madeira
9004-512,funchal,madeira
9000-034,funchal,madeira
9050-089,funchal,madeira
9050-024,funchal,madeira
9000-057,funchal,madeira
9000-267,funchal,madeira
9020-015,funchal,madeira
9000-018,funchal,madeira
9000-026,funchal,madeira
9000-075,funchal,madeira
9000-747,funchal,madeira
9060-160,funchal,madeira
9000-265,funchal,madeira
9000-669,funchal,madeira
9000-047,funchal,madeira
9020-187,funchal,madeira
9060-011,funchal,madeira
9050-489,funchal,madeira
9000-043,funchal,madeira
9000-190,funchal,madeira
9050-080,funchal,madeira
9000-742,funchal,madeira
9004-524,funchal,madeira
9000-144,funchal,madeira
9000-743,funchal,madeira
9060-194,funchal,madeira
9000-206,funchal,madeira
9000-016,funchal,madeira
9020-409,funchal,madeira
9000-727,funchal,madeira
9000-736,funchal,madeira
9000-765,funchal,madeira
9050-069,funchal,madeira
9000-160,funchal,madeira
9000-192,funchal,madeira
9050-328,funchal,madeira
9000-782,funchal,madeira
9000-628,funchal,madeira
9000-647,funchal,madeira
9000-171,funchal,madeira
9004-537,funchal,madeira
9000-163,funchal,madeira
9000-082,funchal,madeira
9000-061,funchal,madeira
9000-663,funchal,madeira
9000-015,funchal,madeira
9050-440,funchal,madeira
9000-216,funchal,madeira
9000-208,funchal,madeira
9020-040,funchal,madeira
9000-759,funchal,madeira
9000-153,funchal,madeira
9000-162,funchal,madeira
9020-102,funchal,madeira
9000-500,funchal,madeira
9000-187,funchal,madeira
9000-113,funchal,madeira
9000-266,funchal,madeira
9000-012,funchal,madeira
9000-168,funchal,madeira
9000-039,funchal,madeira
9050-026,funchal,madeira
9000-145,funchal,madeira
9020-130,funchal,madeira
9000-735,funchal,madeira
9000-105,funchal,madeira
9000-716,funchal,madeira
9000-221,funchal,madeira
9000-756,funchal,madeira
9020-027,funchal,madeira
9020-072,funchal,madeira
9000-116,funchal,madeira
9000-019,funchal,madeira
9000-070,funchal,madeira
9000-248,funchal,madeira
9050-048,funchal,madeira
9020-329,funchal,madeira
9020-001,funchal,madeira
9000-428,funchal,madeira
9050-206,funchal,madeira
9000-213,funchal,madeira
9000-090,funchal,madeira
9020-426,funchal,madeira
9050-447,funchal,madeira
9020-198,funchal,madeira
9000-048,funchal,madeira
9000-038,funchal,madeira
9020-062,funchal,madeira
9000-088,funchal,madeira
9000-767,funchal,madeira
9000-776,funchal,madeira
9000-020,funchal,madeira
9000-250,funchal,madeira
9000-000,funchal,madeira
9000-167,funchal,madeira
9000-154,funchal,madeira
9000-643,funchal,madeira
9050-064,funchal,madeira
9000-641,funchal,madeira
9000-174,funchal,madeira
9000-166,funchal,madeira
9000-100,funchal,madeira
9000-059,funchal,madeira
9000-170,funchal,madeira
9020-411,funchal,madeira
9000-064,funchal,madeira
9050-555,funchal,madeira
9060-380,funchal,madeira
9000-080,funchal,madeira
9050-052,funchal,madeira
9020-176,funchal,madeira
9000-141,funchal,madeira
9000-050,funchal,madeira
9000-739,funchal,madeira
9000-081,funchal,madeira
9000-111,funchal,madeira
9000-017,funchal,madeira
9000-690,funchal,madeira
9060-271,funchal,madeira
9000-028,funchal,madeira
9000-273,funchal,madeira
9000-754,funchal,madeira
9020-103,funchal,madeira
9200-000,machico,madeira
9200-216,machico,madeira
9200-201,machico,madeira
9200-134,machico,madeira
9225-050,machico,madeira
9200-112,machico,madeira
9200-032,machico,madeira
9200-209,machico,madeira
9230-000,santana,madeira
9100-146,santa cruz,madeira
9100-000,santa cruz,madeira
9100-156,santa cruz,madeira
9135-430,santa cruz,madeira
9100-180,santa cruz,madeira
9400-000,porto santo,madeira
9360-516,ponta do sol,madeira
9360-000,ponta do sol,madeira
9360-559,ponta do sol,madeira
9360-544,ponta do sol,madeira
9360-561,ponta do sol,madeira
9360-537,ponta do sol,madeira
9360-523,ponta do sol,madeira
9360-543,ponta do sol,madeira
9240-019,são vicente,madeira
9240-108,são vicente,madeira
9240-217,são vicente,madeira
9240-020,são vicente,madeira
9240-215,são vicente,madeira
9240-207,são vicente,madeira
9240-000,são vicente,madeira
9240-211,são vicente,madeira
9240-216,são vicente,madeira
9240-222,são vicente,madeira
9350-146,ribeira brava,madeira
9350-416,ribeira brava,madeira
9350-419,ribeira brava,madeira
9350-091,ribeira brava,madeira
9300-000,câmara de lobos,madeira
9300-029,câmara de lobos,madeira
9325-052,câmara de lobos,madeira
9300-091,câmara de lobos,madeira
9300-092,câmara de lobos,madeira
9300-306,câmara de lobos,madeira
9300-006,câmara de lobos,madeira
9325-331,câmara de lobos,madeira
9300-303,câmara de lobos,madeira
9300-076,câmara de lobos,madeira
9300-167,câmara de lobos,madeira
9300-161,câmara de lobos,madeira
9300-004,câmara de lobos,madeira
9300-155,câmara de lobos,madeira
9300-090,câmara de lobos,madeira
9300-166,câmara de lobos,madeira
9370-572,calheta (madeira),madeira
9370-175,calheta (madeira),madeira
9370-057,calheta (madeira),madeira
9370-264,calheta (madeira),madeira
9370-620,calheta (madeira),madeira
9370-112,calheta (madeira),madeira
9370-711,calheta (madeira),madeira
9370-056,calheta (madeira),madeira
9370-715,calheta (madeira),madeira
9370-048,calheta (madeira),madeira
